date,code,pct_chg,close
2021-01-07,000905.SH,0.00152831,6538.12
2021-01-08,000852.SH,-0.00471449,6585.36
2021-01-08,000905.SH,0.00298006,6557.6
2021-01-11,000852.SH,-0.0166132,6475.95
2021-01-11,000905.SH,-0.0155844,6455.4
2021-01-12,000852.SH,0.0137093,6564.74
2021-01-12,000905.SH,0.0136058,6543.23
2021-01-13,000852.SH,-0.00778333,6513.64
2021-01-13,000905.SH,-0.00707892,6496.91
2021-01-14,000852.SH,-0.00104597,6506.83
2021-01-14,000905.SH,-0.00877694,6439.89
2021-01-15,000852.SH,0.00332485,6528.46
2021-01-15,000905.SH,-0.00347599,6417.5
2021-01-18,000852.SH,0.0189379,6652.1
2021-01-18,000905.SH,0.0151085,6514.46
2021-01-19,000852.SH,-0.0057163,6614.07
2021-01-19,000905.SH,-0.0058476,6476.37
2021-01-20,000852.SH,0.00867511,6671.45
2021-01-20,000905.SH,0.00911714,6535.42
2021-01-21,000852.SH,0.0110411,6745.11
2021-01-21,000905.SH,0.0133245,6622.5
2021-01-22,000852.SH,-0.00343831,6721.92
2021-01-22,000905.SH,0.00231242,6637.81
2021-01-25,000852.SH,-0.00961696,6657.27
2021-01-25,000905.SH,0.00113064,6645.31
2021-01-26,000852.SH,-0.0185023,6534.1
2021-01-26,000905.SH,-0.0169073,6532.96
2021-01-27,000852.SH,0.000559603,6537.75
2021-01-27,000905.SH,0.00370426,6557.16
2021-01-28,000852.SH,-0.0212041,6399.13
2021-01-28,000905.SH,-0.0217748,6414.38
2021-01-29,000852.SH,-0.0148471,6304.12
2021-01-29,000905.SH,-0.0106388,6346.14
2021-02-01,000852.SH,0.00661411,6345.81
2021-02-01,000905.SH,0.00742861,6393.28
2021-02-02,000852.SH,0.0112904,6417.46
2021-02-02,000905.SH,0.00962136,6454.79
2021-02-03,000852.SH,-0.0171517,6307.39
2021-02-03,000905.SH,-0.0085913,6399.33
2021-02-04,000852.SH,-0.0221397,6167.75
2021-02-04,000905.SH,-0.0110233,6328.79
2021-02-05,000852.SH,-0.0198532,6045.3
2021-02-05,000905.SH,-0.0140498,6239.87
2021-02-08,000852.SH,0.00719927,6088.82
2021-02-08,000905.SH,0.0133479,6323.16
2021-02-09,000852.SH,0.0271305,6254.01
2021-02-09,000905.SH,0.0213055,6457.88
2021-02-10,000852.SH,0.00788214,6303.31
2021-02-10,000905.SH,0.0104197,6525.17
2021-02-18,000852.SH,0.0160691,6404.59
2021-02-18,000905.SH,0.0136968,6614.54
2021-02-19,000852.SH,0.019213,6527.65
2021-02-19,000905.SH,0.0134455,6703.48
2021-02-22,000852.SH,0.00106124,6534.57
2021-02-22,000905.SH,-0.00692506,6657.06
2021-02-23,000852.SH,-0.00682713,6489.96
2021-02-23,000905.SH,-0.00387949,6631.23
2021-02-24,000852.SH,-0.0080316,6437.84
2021-02-24,000905.SH,-0.014332,6536.19
2021-02-25,000852.SH,-0.00597873,6399.35
2021-02-25,000905.SH,-0.0056663,6499.15
2021-02-26,000852.SH,-0.0115546,6325.4
2021-02-26,000905.SH,-0.0207416,6364.35
2021-03-01,000852.SH,0.0268365,6495.16
2021-03-01,000905.SH,0.0194972,6488.44
2021-03-02,000852.SH,-0.0043917,6466.63
2021-03-02,000905.SH,-0.00849341,6433.33
2021-03-03,000852.SH,0.0134482,6553.6
2021-03-03,000905.SH,0.0142107,6524.75
2021-03-04,000852.SH,-0.0181125,6434.89
2021-03-04,000905.SH,-0.0188147,6401.99
2021-03-05,000852.SH,0.0033233,6456.28
2021-03-05,000905.SH,0.000235552,6403.5
2021-03-08,000852.SH,-0.0199232,6327.65
2021-03-08,000905.SH,-0.0229696,6256.41
2021-03-09,000852.SH,-0.0318232,6126.28
2021-03-09,000905.SH,-0.0237211,6108.0
2021-03-10,000852.SH,-0.00784143,6078.24
2021-03-10,000905.SH,-0.00748903,6062.26
2021-03-11,000852.SH,0.0232665,6219.66
2021-03-11,000905.SH,0.0250031,6213.83
2021-03-12,000852.SH,0.00013094,6220.48
2021-03-12,000905.SH,0.00137564,6222.38
2021-03-15,000852.SH,-0.00687081,6177.74
2021-03-15,000905.SH,-0.00779605,6173.87
2021-03-16,000852.SH,0.00902026,6233.46
2021-03-16,000905.SH,0.00346104,6195.24
2021-03-17,000852.SH,0.00707767,6277.58
2021-03-17,000905.SH,0.00486115,6225.36
2021-03-18,000852.SH,0.00339371,6298.89
2021-03-18,000905.SH,0.00779088,6273.86
2021-03-19,000852.SH,-0.00763167,6250.81
2021-03-19,000905.SH,-0.01072,6206.6
2021-03-22,000852.SH,0.0174034,6359.6
2021-03-22,000905.SH,0.0159649,6305.69
2021-03-23,000852.SH,-0.0111012,6289.0
2021-03-23,000905.SH,-0.0137213,6219.17
2021-03-24,000852.SH,-0.0147455,6196.27
2021-03-24,000905.SH,-0.0123211,6142.54
2021-03-25,000852.SH,-0.000896508,6190.71
2021-03-25,000905.SH,0.00242017,6157.41
2021-03-26,000852.SH,0.0178702,6301.34
2021-03-26,000905.SH,0.0153284,6251.79
2021-03-29,000852.SH,0.00400992,6326.61
2021-03-29,000905.SH,0.000503216,6254.94
2021-03-30,000852.SH,-0.00395544,6301.58
2021-03-30,000905.SH,0.00406351,6280.36
2021-03-31,000852.SH,-0.00130009,6293.39
2021-03-31,000905.SH,-0.00418591,6254.07
2021-04-01,000852.SH,0.00673708,6335.79
2021-04-01,000905.SH,0.0092084,6311.66
2021-04-02,000852.SH,0.00401847,6361.25
2021-04-02,000905.SH,0.002368,6326.61
2021-04-06,000852.SH,0.0094691,6421.49
2021-04-06,000905.SH,0.00260709,6343.1
2021-04-07,000852.SH,0.000198537,6422.76
2021-04-07,000905.SH,0.000785736,6348.08
2021-04-08,000852.SH,-0.00290114,6404.13
2021-04-08,000905.SH,0.0013664,6356.75
2021-04-09,000852.SH,-0.000719317,6399.52
2021-04-09,000905.SH,-0.00338427,6335.24
2021-04-12,000852.SH,-0.0212708,6263.4
2021-04-12,000905.SH,-0.0171768,6226.42
2021-04-13,000852.SH,-0.00515051,6231.14
2021-04-13,000905.SH,-0.00267216,6209.78
2021-04-14,000852.SH,0.0142715,6320.07
2021-04-14,000905.SH,0.0108587,6277.21
2021-04-15,000852.SH,-0.0037118,6296.61
2021-04-15,000905.SH,-0.000119639,6276.46
2021-04-16,000852.SH,0.0114725,6368.85
2021-04-16,000905.SH,0.0100581,6339.59
2021-04-19,000852.SH,0.0170426,6477.39
2021-04-19,000905.SH,0.0135133,6425.26
2021-04-20,000852.SH,-0.0030504,6457.63
2021-04-20,000905.SH,0.000510329,6428.54
